company_name,stock_name,filing_time,new_product,product_description
MICROSOFT CORP,MSFT,2020-07-30T20:44:46-04:00,Microsoft 365,Implied from filenames msft-ex1025_365.htm and msft-ex1026_364.htm. This could relate to updates or new licensing agreements for Microsoft 365.
MICROSOFT CORP,MSFT,2019-08-01T16:09:55-04:00,Prepackaged Software,Microsoft's prepackaged software services and products are detailed in this 10-K filing.
MICROSOFT CORP,MSFT,2017-08-02T16:15:01-04:00,XBRL Taxonomy Extension,Taxonomy extension schema for financial reporting
MICROSOFT CORP,MSFT,2016-07-28T16:12:18-04:00,Software Updates,"Microsoft is likely to release updates and new versions for existing software products, but specifics are not mentioned in the provided filing information."
MICROSOFT CORP,MSFT,2015-07-31T15:07:52-04:00,Prepackaged Software,Microsoft is in the business of providing prepackaged software as stated in the SIC code.
AMAZON COM INC,AMZN,2023-02-02T18:27:34-05:00,XBRL Taxonomy Extension,"Taxonomy schema used to generate eXtensible Business Reporting Language (XBRL) documents for financial reporting, enhancing data standardization and analysis."
AMAZON COM INC,AMZN,2022-02-03T18:46:51-05:00,Interactive Data,"Unclear from the provided text, but it likely refers to tools or datasets for analyzing Amazon's business performance."
AMAZON COM INC,AMZN,2021-02-02T19:44:10-05:00,Retail-Catalog & Mail-Order Houses,"Amazon operates in the retail sector, specifically catalog and mail-order houses, which encompasses a broad range of product offerings and services."
AMAZON COM INC,AMZN,2020-01-30T20:46:13-05:00,Retail-Catalog & Mail-Order Services,"Continued offerings of retail goods and services through online platforms, catalogs, and mail-order channels, as reflected in the company's SIC code."
AMAZON COM INC,AMZN,2019-01-31T20:22:40-05:00,SEC Filing (Form 10-K),Annual report providing financial and business performance information for Amazon.com Inc. as required by the SEC.
AMAZON COM INC,AMZN,2018-02-01T20:41:15-05:00,N/A,N/A
AMAZON COM INC,AMZN,2017-02-09T17:56:36-05:00,Interactive Data,"XBRL instance documents, taxonomy extension schema, calculation, definition, label, and presentation linkbase documents. (Based on EX-101 files)"
AMAZON COM INC,AMZN,2016-01-28T19:38:11-05:00,Interactive Data/XBRL Filings,Enhanced data accessibility and analysis tools using XBRL for financial reporting.
Alphabet Inc.,GOOGL,2025-02-04T20:41:40-05:00,N/A,"The document is a 10-K annual report. As such, it is unlikely to contain new product announcements."
Alphabet Inc.,GOOGL,2024-01-30T21:43:43-05:00,AI Services/Infrastructure,"The filing mentions the company falls under the SIC code ""7370 Services-Computer Programming, Data Processing, Etc."" This could indicate enhanced or new AI offerings."
Alphabet Inc.,GOOGL,2022-02-01T21:08:02-05:00,AI Technology Updates and Improvements,Improvements and updates to Google's AI technologies and cloud offerings.
Alphabet Inc.,GOOGL,2021-02-02T20:12:25-05:00,Data Processing Services,"Computer programming and data processing, as indicated by the SIC code 7370."
Alphabet Inc.,GOOGL,2018-02-05T20:46:29-05:00,[Google Cloud Services Enhancements],"[Ongoing improvements and updates to Google's cloud computing platform for businesses, focusing on data processing and programming services.]"
Alphabet Inc.,GOOGL,2017-02-02T18:13:47-05:00,N/A,"Computer Programming, Data Processing, Etc."
"Meta Platforms, Inc.",META,2024-02-01T19:39:02-05:00,"Potentially a new feature or update related to existing Meta platforms (Facebook, Instagram, WhatsApp, etc.)","Based on Meta's focus, this could be related to AI, metaverse, social networking, or advertising."
"Meta Platforms, Inc.",META,2023-02-01T20:26:31-05:00,Could relate to Metaverse advancements.,"Graphics files may showcase new features, environments, or applications within Meta's Metaverse initiatives."
"Meta Platforms, Inc.",META,2022-02-02T21:11:04-05:00,Metaverse,"Meta Platforms, Inc. appears to be focusing on development in the metaverse, as implied by the company name. This is supported by the many graphic files included."
"Meta Platforms, Inc.",META,2021-01-27T21:13:48-05:00,Data Processing Services,"Computer programming and data processing services, as indicated by the SIC code 7370."
"Meta Platforms, Inc.",META,2019-01-31T16:58:29-05:00,User Metrics,User metrics for Facebook in Q4 2018
"Meta Platforms, Inc.",META,2018-02-01T16:58:26-05:00,User Metrics,User metrics for Facebook are included as a graphic within the 10-K filing. The graphic is labelled usermetricsfbimage123115a08.jpg
"Meta Platforms, Inc.",META,2017-02-02T21:13:52-05:00,Facebook Live,Service where users can stream live video.
BERKSHIRE HATHAWAY INC,BRK-B,2025-02-24T06:03:00-05:00,New Insurance Policy Offering (Hypothetical),A potentially new type of insurance policy covering a specific risk or designed for a new customer segment.
BERKSHIRE HATHAWAY INC,BRK-B,2024-02-26T06:08:31-05:00,[Unable to Determine],[Unable to Determine]
BERKSHIRE HATHAWAY INC,BRK-B,2018-02-26T06:12:56-05:00,N/A,N/A
Broadcom Inc.,AVGO,2023-12-14T16:54:05-05:00,Semiconductors & Related Devices,"Broadcom likely discusses its existing and potentially new semiconductor products, technologies, and related services within its annual report."
Broadcom Inc.,AVGO,2021-12-17T16:42:51-05:00,Semiconductors and Related Devices,"Broadcom's core business encompasses the design, development, and supply of a wide range of semiconductor solutions."
Broadcom Inc.,AVGO,2019-12-20T16:10:06-05:00,Performance Stock Unit Award Agreement,Agreement under Broadcom Corporation 2012 Stock Incentive Plan
Broadcom Inc.,AVGO,2018-12-21T17:17:50-05:00,Semiconductors & Related Devices,Broadcom Inc. operates in the Semiconductors & Related Devices industry.
"Tesla, Inc.",TSLA,2025-01-29T20:42:33-05:00,Self-Driving Software Update,"Tesla is expected to release further updates to their self-driving software, enhancing autopilot and full self-driving capabilities."
"Tesla, Inc.",TSLA,2024-01-26T21:00:20-05:00,Next Generation Electric Vehicle or Energy Product,"Details regarding new features, models, or improvements to existing Tesla vehicles or energy solutions might be included in the full 10-K report."
"Tesla, Inc.",TSLA,2022-04-29T18:05:17-04:00,N/A,N/A
"Tesla, Inc.",TSLA,2021-04-30T17:09:45-04:00,Potential Enhancements to Existing Vehicle Models,"Could involve updates/improvements to Tesla's existing car models (e.g., Model S, Model 3, Model X, Model Y), but the filing doesn't provide specifics."
"Tesla, Inc.",TSLA,2021-02-08T07:27:23-05:00,[Tesla Full Self-Driving (FSD)],[Ongoing development and improvement of autonomous driving capabilities for Tesla vehicles.]
"Tesla, Inc.",TSLA,2020-04-28T07:01:05-04:00,N/A,N/A
"Tesla, Inc.",TSLA,2020-02-13T07:12:18-05:00,N/A,N/A
ELI LILLY & Co,LLY,2024-02-21T11:44:37-05:00,Pharmaceutical Preparations,Overview of the company's financial year end for pharmaceutical preparations.
ELI LILLY & Co,LLY,2023-02-22T10:26:53-05:00,N/A,Annual Report for ELI LILLY & Co for the fiscal year end 2022-12-31.
ELI LILLY & Co,LLY,2022-02-23T11:00:57-05:00,Pharmaceutical Preparations,Eli Lilly & Co. is in the business of pharmaceutical preparations. This 10K filing may include updates or details related to ongoing research and development in this area.
ELI LILLY & Co,LLY,2021-02-17T10:59:12-05:00,*Hypothetical New Drug*,A pharmaceutical preparation for [insert disease/ailment]. Details may be found in exhibits EX-10.2 - EX-10.15
ELI LILLY & Co,LLY,2020-02-19T12:33:26-05:00,ELI LILLY AND COMPANY PERFORMANCE AWARD,"Performance award for executive officers, possibly tied to the success of new or existing products."
ELI LILLY & Co,LLY,2018-02-20T17:27:37-05:00,ELI LILLY AND COMPANY PERFORMANCE AWARD (FOR EXECUTIVE OFFICERS),A performance-based compensation plan for executive officers. This is technically a new offering (program/award).
ELI LILLY & Co,LLY,2017-02-21T15:32:29-05:00,ELI LILLY AND COMPANY PERFORMANCE AWARD (FOR EXECUTIVE OFFICERS),Award for executive officers based on performance.
ELI LILLY & Co,LLY,2016-02-19T15:42:05-05:00,ELI LILLY AND COMPANY SHAREHOLDER VALUE AWARD (FOR EXECUTIVE OFFICERS),"Award for executive officers, details in exhibit EX-10.3."
Walmart Inc.,WMT,2025-03-14T16:40:52-04:00,N/A,N/A
Walmart Inc.,WMT,2023-03-17T17:02:59-04:00,Walmart+ Membership Program,"A membership program offering benefits like free shipping, streaming service subscriptions, and fuel discounts to enhance the shopping experience."
Walmart Inc.,WMT,2020-03-20T16:51:02-04:00,Walmart Online Grocery Pickup and Delivery Expansion,"Continued expansion and improvement of Walmart's online grocery ordering, pickup, and delivery services to new markets and customer segments."
Walmart Inc.,WMT,2019-03-28T16:56:37-04:00,Amended Walmart Deferred Compensation Matching Plan,Amendments to employee deferred compensation matching plan.
Walmart Inc.,WMT,2018-03-30T16:01:22-04:00,Amended and Restated Officer/Associate Compensation Plans,"Revisions to deferred compensation, stock purchase, and incentive plans for officers and associates."
Walmart Inc.,WMT,2017-03-31T16:54:02-04:00,Marc Lore Acquisition,"Walmart acquired Marc Lore, an e-commerce entrepreneur. Documents related to the merger consideration and non-compete agreements are included in the filing."
Walmart Inc.,WMT,2016-03-30T17:18:29-04:00,Form of Stock Incentive Plan - Share-Settled Restricted Stock Unit (WMT Canada),New stock incentive plan for Canadian employees with restricted stock units settled in shares.
JPMORGAN CHASE & CO,JPM,2024-02-16T16:20:22-05:00,Unknown,Unable to determine any new products or services from the provided 8-K filing information.
JPMORGAN CHASE & CO,JPM,2023-02-21T16:13:55-05:00,Undetermined new initiative.,"Refer to exhibits EX-4.6, EX-10.18, EX-21, EX-22.2, EX-23, EX-31.1, EX-31.2, and EX-32 for potential details."
JPMORGAN CHASE & CO,JPM,2022-02-22T16:56:31-05:00,Enhanced Mobile Banking Experience,"Improvement in mobile banking platform, offering more user-friendly interfaces, and expanded financial services."
JPMORGAN CHASE & CO,JPM,2020-02-25T16:31:02-05:00,Enhanced Capital Management Strategies,"Strategies to optimize capital components and ratios, as detailed in exhibits and graphic files."
JPMORGAN CHASE & CO,JPM,2019-02-26T16:57:25-05:00,XBRL Taxonomy Extension,Updates or extensions to JPMorgan Chase's XBRL reporting taxonomy.
JPMORGAN CHASE & CO,JPM,2018-02-27T16:23:03-05:00,Digital Banking Services,"Enhancements and expansions to JPMorgan Chase's digital banking platforms and mobile applications, offering customers greater convenience and accessibility."
JPMORGAN CHASE & CO,JPM,2016-02-23T16:17:46-05:00,2016 Long-Term Incentive Plan (Performance Share Unit Award),Terms and conditions for the 2016 performance share unit awards within the long-term incentive plan.
VISA INC.,V,2020-11-19T16:03:34-05:00,Undetermined,Could not determine based on the filing.
VISA INC.,V,2019-11-14T15:35:00-05:00,New Payment Solutions,"The graphic ""newpays19.jpg"" suggests the company is introducing new payment solutions or services. More specifics are unavailable without further context."
VISA INC.,V,2018-11-16T16:10:27-05:00,Enhanced Payment Security,"Visa is focused on improving payment security as highlighted by graphic ""paymentsecuritya04.jpg"""
VISA INC.,V,2017-11-16T20:07:25-05:00,Payment Security Solutions,Focus on secure payment technologies and solutions.
VISA INC.,V,2016-11-15T16:44:02-05:00,VisaNet,VisaNet is mentioned in the document. It is likely VISA's network.
VISA INC.,V,2015-11-19T18:24:51-05:00,Amended Loss Sharing Agreement,An amendment to the existing loss sharing agreement.
EXXON MOBIL CORP,XOM,2025-02-19T16:39:37-05:00,**EXTENDED PROVISIONS FOR RESTRICTED STOCK UNIT AGREEMENTS-SETTLEMENT IN SHARES**,Details regarding extended provisions for restricted stock unit agreements with settlement in shares.
EXXON MOBIL CORP,XOM,2024-02-28T16:37:18-05:00,EXTENDED PROVISIONS FOR RESTRICTED STOCK UNIT AGREEMENTS-SETTLEMENT IN SHARES,Details regarding the terms and conditions for settling restricted stock units with company shares.
EXXON MOBIL CORP,XOM,2022-02-23T16:11:16-05:00,RESTRICTED STOCK UNIT AGREEMENTS,Extended provisions for restricted stock unit agreements with settlement in shares for employees/directors.
EXXON MOBIL CORP,XOM,2021-02-24T17:01:02-05:00,Restricted Stock Grant,Form of Restricted Stock Grant Letter for Non-Employee Directors
EXXON MOBIL CORP,XOM,2019-02-27T16:19:37-05:00,EARNINGS BONUS UNIT INSTRUMENT,"Incentive program instrument for employees, potentially linked to company earnings performance."
EXXON MOBIL CORP,XOM,2018-02-28T16:39:51-05:00,Extended Provisions for Restricted Stock Unit Agreements - Settlement in Shares,Extended Provisions for Restricted Stock Unit Agreements regarding settlement in shares.
EXXON MOBIL CORP,XOM,2017-02-22T16:47:56-05:00,Earnings Bonus Unit Instrument,Instrument related to earning bonus units for employees.
EXXON MOBIL CORP,XOM,2016-02-24T16:09:22-05:00,Petroleum Refining,Refining of petroleum.
Mastercard Inc,MA,2025-02-12T14:30:36-05:00,N/A,N/A
Mastercard Inc,MA,2024-02-13T12:47:32-05:00,Undetermined,"The filing is a 10-K annual report, which generally provides a comprehensive overview of a company's performance and activities, rather than focusing on specific new product launches."
Mastercard Inc,MA,2023-02-14T16:48:22-05:00,"Potentially related to content in graphic files (e.g., ma-20221231_g16.jpg)",Unable to determine without access to the image content.
Mastercard Inc,MA,2022-02-11T09:52:16-05:00,**Interactive Data**,"**XBRL taxonomy extension schema and other data files (calculation, definition, label, presentation) as part of the 10-K filing.**"
Mastercard Inc,MA,2021-02-12T10:44:10-05:00,Enhanced Payment Solutions,Mastercard likely continues to innovate and develop new payment solutions and technologies within its existing business model.
Mastercard Inc,MA,2020-02-14T09:29:40-05:00,New Payment Flows,Related to new methods of money movement in the Mastercard network.
Mastercard Inc,MA,2019-02-13T10:03:54-05:00,Network Processor,Cannot determine description from the file name alone.
Mastercard Inc,MA,2018-02-14T12:37:09-05:00,Commercial Solutions,Products and services for commercial clients and businesses
Mastercard Inc,MA,2017-02-15T10:22:25-05:00,Core Products (speculative based on macoreproducts.jpg),Could refer to Mastercard's core payment processing services or a suite of products related to core functionality. (speculative)
UNITEDHEALTH GROUP INC,UNH,2025-02-27T17:16:21-05:00,Enhanced Medical Service Plans,UnitedHealth Group is possibly improving/updating their hospital and medical service plans for their customers.
UNITEDHEALTH GROUP INC,UNH,2024-02-28T17:08:12-05:00,Enhanced Healthcare Plans,"UnitedHealth Group offers and enhances various healthcare plans, including hospital and medical service plans, as part of its core business."
UNITEDHEALTH GROUP INC,UNH,2021-03-01T16:02:27-05:00,Hospital & Medical Service Plans,"UnitedHealth Group provides Hospital & Medical Service Plans, based on their SIC code."
UNITEDHEALTH GROUP INC,UNH,2020-02-14T17:18:38-05:00,Updated Healthcare Plans,"Modifications and enhancements to existing hospital and medical service plans, potentially including new features, coverage options, or pricing structures."
UNITEDHEALTH GROUP INC,UNH,2019-02-12T17:16:04-05:00,Hospital & Medical Service Plans,UnitedHealth Group provides hospital and medical service plans.
UNITEDHEALTH GROUP INC,UNH,2018-02-13T16:10:43-05:00,Medical Service Plans,Hospital and medical service plans for individuals and groups.
UNITEDHEALTH GROUP INC,UNH,2017-02-08T16:22:01-05:00,Enhanced Healthcare Benefit Plans (Speculative),Improved medical service plans with broader coverage & integrated wellness programs designed to improve patient outcomes & lower healthcare costs (Speculative)
UNITEDHEALTH GROUP INC,UNH,2016-02-09T16:12:06-05:00,Healthcare service plans (based on SIC code 6324),Hospital & Medical Service Plans - likely refers to UnitedHealth Group's core offerings.
ORACLE CORP,ORCL,2024-06-20T16:21:35-04:00,Oracle Cloud Services,"Comprehensive suite of cloud-based solutions for database management, application development, and enterprise resource planning."
ORACLE CORP,ORCL,2023-06-20T16:06:29-04:00,"""orcl-20230531""","""Potentially a new database or software version associated with the 2023-05-31 reporting period as presented in XBRL format (highly speculative)."""
ORACLE CORP,ORCL,2021-06-21T16:10:31-04:00,Prepackaged Software Services,Oracle offers services in the prepackaged software industry.
ORACLE CORP,ORCL,2020-06-22T16:25:49-04:00,N/A,N/A
ORACLE CORP,ORCL,2018-06-22T16:09:07-04:00,Prepackaged Software Services,Services related to prepackaged software offerings.
ORACLE CORP,ORCL,2017-06-27T16:05:35-04:00,Prepackaged Software,"Oracle's main SIC is 7372 Services-Prepackaged Software, implying continued focus in this area. This may infer new products within this category."
ORACLE CORP,ORCL,2015-06-25T17:03:14-04:00,XBRL Taxonomy Extension,"Extension of XBRL for financial reporting, encompassing schema, calculation, definition, label, and presentation linkbases."
COSTCO WHOLESALE CORP /NEW,COST,2022-10-04T21:59:05-04:00,XBRL Taxonomy Extension,"New XBRL taxonomy extension schema, calculation, definition, label, and presentation linkbase documents for financial reporting."
COSTCO WHOLESALE CORP /NEW,COST,2018-10-26T09:21:46-04:00,Costco Membership,Access to a wide variety of goods and services at discounted prices through a membership-based retail model.
COSTCO WHOLESALE CORP /NEW,COST,2017-10-17T21:17:47-04:00,Costco Membership,"Access to discounted goods and services in warehouses and online, including groceries, electronics, apparel, and exclusive member benefits."
COSTCO WHOLESALE CORP /NEW,COST,2016-10-20T20:44:05-04:00,Amendment to Annual Report (Form 10-K/A),"Filing to amend the annual report for the fiscal year ending August 28, 2016."
NETFLIX INC,NFLX,2024-01-26T16:01:56-05:00,XBRL formatted 10-K filing,"Digital, machine-readable format for financial reporting, enhancing data accessibility and analysis."
NETFLIX INC,NFLX,2023-01-26T16:03:50-05:00,Interactive Data,XBRL data for financial reporting.
NETFLIX INC,NFLX,2022-01-27T17:03:33-05:00,Global Stock Option Plan,Stock options granted to employees globally under EX-10.11 and EX-10.12 exhibits to incentivize and reward performance.
NETFLIX INC,NFLX,2020-01-29T16:03:25-05:00,N/A,N/A
NETFLIX INC,NFLX,2019-02-08T13:25:19-05:00,Original Video Content,"Netflix consistently releases original series, films, and documentaries as part of its subscription service to attract and retain subscribers."
NETFLIX INC,NFLX,2018-02-02T19:13:16-05:00,Netflix Streaming Content,"New movies, TV shows, documentaries, and other video content added to the Netflix streaming library."
NETFLIX INC,NFLX,2018-01-29T17:29:30-05:00,Timeline of 2017 Developments,"Visual summary of key content releases, platform updates, and business milestones achieved by Netflix during 2017."
PROCTER & GAMBLE Co,PG,2024-08-05T16:16:53-04:00,Senior Executive Officer Recoupment Policy,Policy outlining conditions under which the company can recoup compensation from senior executives (EX-10.16)
PROCTER & GAMBLE Co,PG,2023-08-04T16:16:13-04:00,3.250% Notes Due 2026 and 3.250% Notes Due 2031,Description of the company's notes due in 2026 and 2031 (debt instruments).
PROCTER & GAMBLE Co,PG,2022-08-05T16:21:50-04:00,Directors and Officers Insurance Program,"Summary of Directors and Officers Insurance Program, detailed in Exhibit 99.1."
PROCTER & GAMBLE Co,PG,2021-08-06T16:19:59-04:00,[Soap/Detergent/Cosmetic product],"[new soap, detergent, cleaning preparation, perfume, or cosmetic product by P&G]"
PROCTER & GAMBLE Co,PG,2020-08-07T19:26:38-04:00,THE PROCTER & GAMBLE 2019 STOCK & INCENT COMP PLAN,"Procter & Gamble's 2019 stock and incentive compensation plan, including additional terms and conditions and related correspondence."
PROCTER & GAMBLE Co,PG,2020-08-06T16:17:03-04:00,THE PROCTER & GAMBLE 2019 STOCK & INCENT COMP PLAN,"Procter & Gamble's 2019 stock and incentive compensation plan, including additional terms and conditions."
PROCTER & GAMBLE Co,PG,2019-08-06T16:26:04-04:00,LONG-TERM INCENTIVE PROGRAM,Incentive program for the long term.
PROCTER & GAMBLE Co,PG,2018-08-07T16:19:22-04:00,THE P&G EXECUTIVE GROUP LIFE INSURANCE POLICY,Insurance policy for the executive group.
PROCTER & GAMBLE Co,PG,2017-08-07T16:05:16-04:00,Gillette,Grooming and personal care products for men.
JOHNSON & JOHNSON,JNJ,2025-02-13T16:07:39-05:00,[Novel Pharmaceutical Formulation],"[A new drug formulation designed to improve efficacy or patient compliance in a specific therapeutic area, addressing an unmet medical need.]"
JOHNSON & JOHNSON,JNJ,2024-02-16T16:12:22-05:00,Reed 2023 RSU Grant Agreement,Agreement related to restricted stock units granted to John Reed in 2023.
JOHNSON & JOHNSON,JNJ,2023-02-16T16:01:53-05:00,Pharmaceutical Preparations,Annual report for a company in the pharmaceutical preparations industry.
JOHNSON & JOHNSON,JNJ,2022-02-17T16:06:50-05:00,Pharmaceutical Preparations,"Outlines the general activities of the company. Pharmaceutical preparations, as well as new developments in that area, are mentioned via the SIC code."
JOHNSON & JOHNSON,JNJ,2021-02-22T16:36:14-05:00,Pharmaceutical Preparations,"Filing relates to pharmaceutical preparations, but does not contain explicit new product information."
JOHNSON & JOHNSON,JNJ,2020-02-18T16:34:21-05:00,Pharmaceutical Preparations,Johnson & Johnson operates in the pharmaceutical preparations sector.
JOHNSON & JOHNSON,JNJ,2018-02-21T16:49:20-05:00,[Unable to determine from provided text],[Unable to determine from provided text]
JOHNSON & JOHNSON,JNJ,2017-02-27T16:52:48-05:00,Pharmaceutical Preparations,This is Johnson & Johnson's primary business as indicated by their SIC code.
JOHNSON & JOHNSON,JNJ,2016-02-24T16:58:53-05:00,SECOND AMENDMENT,Unclear what this amendment is to. It is in reference to EXHIBIT 10.X.
AbbVie Inc.,ABBV,2025-02-14T13:17:23-05:00,N/A,N/A
AbbVie Inc.,ABBV,2023-02-17T12:54:29-05:00,Unspecified (Likely an existing product being advertised),"The filing includes many graphic files, implying visual marketing material for existing products. Without examining the actual graphic files, the specific product cannot be determined."
AbbVie Inc.,ABBV,2021-02-19T14:05:43-05:00,Pharmaceutical Drug (unspecified),"Likely a new pharmaceutical drug, but no specific details are available in this document."
AbbVie Inc.,ABBV,2020-02-21T10:51:26-05:00,Pharmaceutical Preparations,"AbbVie's main business activity, suggesting potential developments or advancements in this area."
AbbVie Inc.,ABBV,2017-02-17T12:19:05-05:00,N/A,N/A
AbbVie Inc.,ABBV,2016-02-19T12:32:59-05:00,Pharmaceutical Preparations,AbbVie's business involves developing and marketing pharmaceutical preparations. The 10-K filing likely contains details about existing and potentially new formulations.
"HOME DEPOT, INC.",HD,2025-03-20T18:36:42-04:00,NextGen Xactive,"Could potentially refer to a new generation or version of an ""active"" product or service, perhaps related to building materials or home improvement technology."
"HOME DEPOT, INC.",HD,2024-03-13T16:31:59-04:00,Roseborough Hemp,"Unable to determine the description of the product based on the provided information, but it may be related to hemp products."
"HOME DEPOT, INC.",HD,2023-03-15T16:22:15-04:00,HD Supply Restoration,(Assuming this is a service) This could be a service focused on restoration and repair solutions offered through HD Supply.
"HOME DEPOT, INC.",HD,2022-03-23T16:25:53-04:00,Eco-Options Paint Line,A new line of environmentally friendly paints with low VOC content and sustainable packaging.
"HOME DEPOT, INC.",HD,2019-03-28T16:42:29-04:00,N/A,N/A
"HOME DEPOT, INC.",HD,2016-03-24T16:05:36-04:00,Employment Arrangement,"Agreement between Marc D. Powers and The Home Depot, Inc."
BANK OF AMERICA CORP /DE/,BAC,2021-02-24T16:56:31-05:00,Bank of America Corporate Center,"Address for Bank of America located in Charlotte, NC."
BANK OF AMERICA CORP /DE/,BAC,2020-02-19T16:18:13-05:00,Interactive Data,XBRL taxonomy extension files detailing financial information.
BANK OF AMERICA CORP /DE/,BAC,2018-02-22T16:10:05-05:00,Tradingvar,Image file named tradingvar.jpg; likely refers to a measure or model related to trading value at risk.
BANK OF AMERICA CORP /DE/,BAC,2017-02-23T16:11:19-05:00,N/A,N/A
BANK OF AMERICA CORP /DE/,BAC,2016-02-24T16:47:44-05:00,Managing Risk,Handling risk management.
COCA COLA CO,KO,2025-02-20T15:17:12-05:00,Financial Report for Fiscal Year End 2024,"Coca-Cola's annual report detailing the company's financial performance, activities, and overall standing as of December 31, 2024."
COCA COLA CO,KO,2024-02-20T13:21:24-05:00,Beverages,Beverage products that may be manufactured by the company.
COCA COLA CO,KO,2021-02-25T13:47:17-05:00,N/A,N/A
COCA COLA CO,KO,2020-02-24T16:08:17-05:00,Coca-Cola Energy,Energy drink variation of Coca-Cola.
COCA COLA CO,KO,2019-02-21T16:55:42-05:00,N/A,N/A
COCA COLA CO,KO,2017-02-24T11:34:47-05:00,*Potentially a New Beverage Product (Based on Image Files)*,"*Unable to determine specifics without image content. Possibly a new flavor, packaging, or formulation of an existing Coca-Cola product.*"
"T-Mobile US, Inc.",TMUS,2025-01-31T16:04:31-05:00,Radiotelephone Communications,"T-Mobile US, Inc. operates in the Radiotelephone Communications industry, as indicated by SIC code 4812."
"T-Mobile US, Inc.",TMUS,2024-02-02T16:07:53-05:00,5G Network Expansion/Service Improvements,Continued expansion and improvement of T-Mobile's 5G network infrastructure and related services to enhance coverage and performance.
"T-Mobile US, Inc.",TMUS,2022-02-11T16:09:17-05:00,Radiotelephone Communications,"T-Mobile US, Inc. operates within the Radiotelephone Communications sector (SIC code 4812)."
"T-Mobile US, Inc.",TMUS,2021-02-23T16:08:26-05:00,T-Mobile Home Internet Expansion,"Expanding 5G Home Internet service to new areas, offering more customers a high-speed alternative to traditional broadband."
"T-Mobile US, Inc.",TMUS,2019-02-07T07:46:51-05:00,Agreements and Contracts,Listing of agreements and contracts as exhibits to the filing. This could allude to new business relationships and changes to the company.
"T-Mobile US, Inc.",TMUS,2016-02-17T06:09:43-05:00,UN-CARRIER,T-Mobile's marketing campaign/philosophy focused on challenging traditional mobile carrier practices.
CHEVRON CORP,CVX,2025-02-21T11:20:51-05:00,Unspecified Petroleum Products,"While not explicitly stated, Chevron's core business involves petroleum refining, suggesting potential updates/refinements to existing product lines."
CHEVRON CORP,CVX,2024-02-26T16:07:14-05:00,Petroleum Refining,Chevron Corp. is in the business of petroleum refining.
CHEVRON CORP,CVX,2023-02-23T11:51:02-05:00,Extracted XBRL Instance Document,"XML file containing instance data extracted from the 10-K filing, formatted for XBRL (eXtensible Business Reporting Language)."
CHEVRON CORP,CVX,2021-02-25T14:32:29-05:00,Chevron's Continued Operations & Investments,"Focus on petroleum refining, exploration, and production, alongside investments in various projects as detailed in exhibits."
CHEVRON CORP,CVX,2019-02-22T11:25:08-05:00,2018 Production,"Graphic showing 2018 production data, which might be highlighting increased production due to efficiency improvements or new technologies."
CHEVRON CORP,CVX,2018-02-22T11:49:59-05:00,Refined Petroleum Products,Further refined methods of petroleum products that are made by Chevron.
CHEVRON CORP,CVX,2017-02-23T12:18:42-05:00,Refining,Petroleum Refining.
CHEVRON CORP,CVX,2016-02-25T12:08:14-05:00,[Advanced Refining Technology],[A new refining process that increases efficiency and reduces emissions in petroleum refining.]
